"id","decision","strand","year","authors_or_body","title","source","doi_or_url","evidence_role","critical_limit_for_ARCCRAFT","metadata_status"
"L001","include","insurance stress testing","2020","EIOPA","Methodological Principles of Insurance Stress Testing","Official methodological paper","https://www.eiopa.europa.eu/publications/methodological-principles-insurance-stress-testing_en","Defines objectives, severe-but-plausible scenarios, scope and governance for insurance stress testing","Regulatory principles do not validate a particular computational architecture","verified"
"L002","include","insurance stress testing","2023","EIOPA","Methodological Principles of Insurance Stress Testing: Cyber Component","Official methodological paper","https://www.eiopa.europa.eu/publications/methodological-principles-insurance-stress-testing-cyber-component_en","Extends stress-test design to cyber risk and highlights scenario construction issues","Domain-specific and not evidence for motor-portfolio calibration","verified"
"L003","include","insurance stress testing","2014","Jobst, Ong and Schmieder","Macroprudential Solvency Stress Testing of the Insurance Sector","IMF Working Paper","https://www.imf.org/external/pubs/ft/wp/2014/wp14133.pdf","Insurance solvency stress-testing framework and macrofinancial transmission context","Macroprudential solvency focus differs from policy-level non-life claims simulation","verified"
"L004","include","insurance stress testing","2026","Bank of England","Insurance stress testing","Official supervisory webpage","https://www.bankofengland.co.uk/stress-testing/insurers","Current supervisory practice, dynamic scenarios and reverse-stress context","A supervisory programme is not a controlled method-comparison study","verified"
"L005","include","insurance stress testing","2013","Breuer and Csiszar","Systematic stress tests with entropic plausibility constraints","Journal of Banking & Finance","10.1016/j.jbankfin.2012.04.013","Formal severe/plausible scenario construction using entropy constraints","Financial-portfolio setting; does not provide ARCCRAFT-style world grammar or validation gates","verified"
"L006","include","scenario generation","2009","Breuer, Jandacka, Rheinberger and Summer","How to Find Plausible, Severe, and Useful Stress Scenarios","International Journal of Central Banking","https://www.ijcb.org/sites/default/files/journal/v5n3/ijcb-v5n3-how-find-plausible-severe-and-useful-stress-scenarios.pdf","Formalizes severity-plausibility trade-off and systematic worst-case search","Elliptical/static setting and banking application","verified"
"L007","include","scenario generation","2015","Flood and Korenko","Systematic Scenario Selection: Stress Testing and the Nature of Uncertainty","Quantitative Finance","10.1080/14697688.2014.926018","Systematic internally consistent multidimensional scenario selection and blind-spot reduction","Focuses on shock selection rather than multi-period actuarial world execution","verified"
"L008","include","scenario generation","2015","Glasserman, Kang and Kang","Stress Scenario Selection by Empirical Likelihood","Quantitative Finance","10.1080/14697688.2014.926019","Data-driven reverse scenario selection and plausibility under tail conditions","Market-risk setting; no insurance claims validation layer","verified"
"L009","include","reverse stress testing","2019","Pesenti, Millossovich and Tsanakas","Reverse Sensitivity Testing: What Does It Take to Break the Model?","European Journal of Operational Research","10.1016/j.ejor.2018.10.003","Closest insurance-relevant precedent for attributing output stress to influential inputs","Works by probability reweighting of an existing sample, not procedural world generation","verified"
"L010","include","reverse stress testing","2023","Baes and Schaanning","Reverse Stress Testing: Scenario Design for Macroprudential Stress Tests","Mathematical Finance","10.1111/mafi.12373","Formal reverse-stress scenario design and optimization","Macroprudential banking scope; not a validation of synthetic insurance environments","verified"
"L011","include","dynamic stress testing","2024","Kroell, Pesenti and Jaimungal","Stressing Dynamic Loss Models","Insurance: Mathematics and Economics","10.1016/j.insmatheco.2023.11.002","Closest formal actuarial work on dynamic reverse stress of compound loss processes","Specific continuous-time compound-Poisson/KL framework; not a general executable world architecture","verified"
"L012","include","regulatory stress testing","2019","IAIS","Application Paper on Recovery Planning","Official application paper","https://www.iaisweb.org/uploads/2022/01/191114-Application-Paper-on-Recovery-Planning.pdf","Severe-but-plausible and reverse-stress expectations in insurance recovery planning","Governance guidance rather than empirical performance evidence","verified"
"L013","include","frequency-severity modelling","2016","Garrido, Genest and Schulz","Generalized Linear Models for Dependent Frequency and Severity of Insurance Claims","Insurance: Mathematics and Economics","10.1016/j.insmatheco.2016.06.006","Transparent dependent frequency-severity comparator with out-of-period testing","Dependence form is restricted and the application is not a procedural stress framework","verified"
