"claim_id","proposed_claim","claim_type","required_evidence","current_evidence","status","allowed_wording"
"C001","ARCCRAFT is a procedural multi-period actuarial stress-testing architecture","definition","Formal specification mapped to implementation","Engine and configuration repository inspected; formal mapping still required","partial","ARCCRAFT is proposed and implemented as a procedural multi-period architecture"
"C002","ARCCRAFT is a validated framework","validation","Independent predictive validation, matched benchmarks, ablations and robustness","Only retrospective 2024 check; tail criterion fails; no matched benchmark","unsupported","Use preliminary evaluation, not validated framework"
"C003","ARCCRAFT improves actuarial stress testing","comparative","Pre-specified superiority or non-inferiority tests against matched baselines","No comparator results","unsupported","Do not claim improvement"
"C004","ARCCRAFT generates reproducible worlds","reproducibility","Repeated registered runs with code, environment, configuration and seed hashes","Exact same-seed replay passed for labels, gates and floating-point outputs; cross-platform and environment-locked tests absent","supported-local","Runs replay exactly in the inspected local environment under the registered seed"
"C005","Independent random streams improve reproducibility or isolation","comparative mechanism","Shared-stream ablation and component-level counterfactual replay","Full model invariant after 100 unused world-stream draws; shared-stream fingerprint changes","supported-local","Named PCG64 substreams isolate claim and behavioural results from irrelevant world-stream consumption in the inspected environment"
"C006","The validator improves scenario quality","comparative mechanism","Consistency metrics plus distributional comparison with no-validator and reject-only ablations","No-validator and strict-reject ablations executed across three seeds, but no external plausibility criterion","partial","The validator enforces coded structural rules and changes the selected scenario population; improved plausibility is not demonstrated"
"C007","Repaired worlds remain statistically plausible","scenario plausibility","Empirical or formal plausibility test before and after repair","Not tested","unsupported","Do not claim"
"C008","The Failure Atlas identifies causes of model vulnerability","diagnostic/causal","Fault-injection ground truth or causal identification; comparator attribution metrics","Internal seed-to-threshold records only","unsupported","The Failure Atlas records variables and conditions associated with coded failures"
"C009","The motor database contains 354140 policy-year records","descriptive","Database query and integrity check","Verified in platform.db","supported","The normalized database contains 354140 policy-year records"
"C010","The motor data cover 185678 insureds during 2022-2024","descriptive","Distinct-ID and year queries","Verified","supported","The normalized portfolio contains 185678 distinct insured identifiers across 2022-2024"
"C011","The normalized motor data have no duplicate insured-year pairs","data quality","Duplicate query","Verified","supported","No duplicate insured-year pairs were detected in the normalized table"
"C012","The original raw motor file is available for independent provenance checking","provenance","Original file and hash match","Original file absent; only recorded filename/hash","unsupported","The repository records a source hash but does not bundle the original raw file"
"C013","The 2024 predicted claim count is accurate within 2.38 percent","point prediction","Reproduced run and observed aggregate","38342.38 simulated mean versus 39276 observed","supported-retrospective","The retrospective 2024 mean claim-count error is -2.38 percent"
"C014","The 2024 incurred-cost error is -4.88 percent","point prediction","Reproduced calculation","50,000-replication seed-42 estimate is -4.8756 percent; Monte Carlo estimate varies slightly with simulation budget","supported-retrospective","At seed 42 with 50000 simulations, the retrospective 2024 incurred-loss error is approximately -4.88 percent"
"C015","The 2024 predictive distribution is calibrated","probabilistic validation","Repeated coverage or proper-score evidence on untouched outcomes","Observed count, cost and loss ratio exceed q97.5","unsupported/current-negative","The 2024 outcome lies above the reported 97.5 percent predictive quantiles"
"C016","The 2024 period is an untouched holdout","study design","Evidence outcome was not inspected or used in development","Outcome already exposed in code/reports","unsupported","Describe as retrospective temporal evaluation"
"C017","A joint 25 percent frequency-severity stress produces mean loss ratio about 1.11","scenario response","Registered stress run","Mean 1.109905 under seed 42 and 10000 simulations","supported-conditional","Under the configured joint 25 percent stress, the simulated mean loss ratio is approximately 1.11"
"C018","The joint 25 percent stress is severe but plausible","scenario plausibility","Formal or empirical plausibility threshold","No plausibility test","unsupported","Call it a configured joint stress, not severe plausible"
"C019","Policy-year average incurred cost represents individual claim severity","measurement","Claim-level payment data or justified mapping","Only policy-year aggregates inspected","unsupported","Use average-cost or aggregate-incurred proxy terminology"
"C020","ARCCRAFT generalizes to insurance portfolios beyond the observed motor case","external validity","Independent portfolios, lines or jurisdictions","One local motor portfolio plus synthetic engine","unsupported","Limit conclusions to the evaluated configuration and portfolio"
"C021","ARCCRAFT is novel because it uses synthetic simulation","novelty","Absence of prior synthetic insurance simulators","SynthETIC, SPLICE, claims-history simulator and openIRM are prior art","falsified-as-written","Novelty may lie only in the tested integration of components"
"C022","ARCCRAFT supports management and model-risk governance","decision utility","User study, governance mapping or operational case evidence","Literature-based rationale only","partial","The architecture is designed to support audit and model challenge; operational value remains to be tested"
"C023","ARCCRAFT outperforms transparent 2024 point-forecast references","comparative","Matched benchmark results under the same information set","Mixed ranking: simple references improve count error, ARCCRAFT improves incurred error versus some but equals pooled deterministic mean","unsupported/current-mixed","No general point-forecast superiority is demonstrated"
"C024","The current Failure Atlas is dominated by traceability failures","descriptive synthetic","Registered canonical run","Seed 20260825 with 10000 worlds gives 3588 traceability failures, 1 combined-ratio failure and 5 rejects","supported-conditional","Under the configured synthetic run, failures are almost entirely generated by the traceability gate"
"C025","Reverse stress is independent of prior random-stream consumption","reproducibility","Repeated test after unrelated generator consumption","Exact replay test passes after dedicated reverse-stress seed domain correction","supported-local","Reverse stress replays independently of prior stream consumption in the inspected environment"
"C026","The predictive interval has stable 95 percent coverage","probabilistic validation","Many independent forecast origins","Only two origins: count coverage 1 of 2 and incurred coverage 0 of 2","unsupported/current-negative","The available origins are insufficient for stable coverage estimation"
"C027","The validator repair rule improves failure detection","comparative mechanism","External labels or controlled fault injection plus matched ablation","Strict-reject sensitivity changes accepted population and failure rate, with no external ground truth","unsupported","Report validator sensitivity only, not improved detection"
"C028","Policy-level frequency improves held-out count deviance","comparative predictive","Matched temporal-origin PPML comparison","Deviance falls from 0.8481 to 0.7871 in 2023 and from 0.9153 to 0.8330 in 2024","supported-retrospective","Policy-level frequency differentiation improves count deviance at both retrospective temporal origins"
"C029","Policy-level frequency is generally superior","comparative predictive","Improvement across aggregate error, deviance, calibration and coverage","Aggregate count error is slightly worse in 2024; decile calibration and interval coverage fail","unsupported/current-mixed","Report dimension-specific improvements, not general superiority"
"C030","Policy-level severity improves incurred-loss prediction","comparative predictive","Improvement across temporal origins, aggregate error and deviance","B2 worsens 2023 aggregate error to +9.58 percent and has higher incurred deviance than B1 in both years","falsified-current","The policy-level cost model does not demonstrate superiority in the present retrospective benchmark"
"C031","The motor table exactly matches its 47-field dictionary and reconciles totals","data quality","Schema and component reconciliation audit","47 fields match; no premium, claim-count or incurred-total mismatches at defined tolerance","supported","The normalized table matches the supplied 47-field dictionary and its recorded totals reconcile to components"
"C032","A positive-only Gamma severity model is appropriate","measurement/model specification","Positive costs on all claim-bearing observations","8543 of 50807 claim-bearing policy-years have zero incurred cost","falsified","Use a non-negative cost-per-reported-claim mean model or explicitly model zero cost"
"C033","Multi-period transitions materially improve failure detection","comparative mechanism","Matched no-transition ablation with uncertainty and external ground truth","Mean accepted-world failure rate changes from 35.95 to 35.70 percent across three seeds; no external labels","unsupported","Transitions have a small detectable effect under the current synthetic grammar; improved detection is not demonstrated"
"C034","Procedural configurations replay exactly under registered seeds","reproducibility","Repeated fingerprints for all configuration-seed pairs","All 15 configuration-seed pairs replay exactly locally","supported-local","All reported procedural configurations replay exactly in the inspected environment"
"C035","Current synthetic failures test actuarial and operational gates evenly","diagnostic balance","Gate-specific failures across canonical and ablation runs","Canonical run has 3588 traceability failures and one combined-ratio failure","falsified","The current synthetic evidence is dominated by the traceability gate"
